cod_depto,professor
678,DANIELA CASTILHO ORSI
678,PEROLA DE OLIVEIRA MAGALHAES DIAS BATISTA
678,HELAINE CARNEIRO CAPUCHO
678,HELAINE CARNEIRO CAPUCHO
678,NOEMIA URRUTH LEAO TAVARES
678,NOEMIA URRUTH LEAO TAVARES
678,LORENA CARNEIRO ALBERNAZ
678,JANICE LISBOA DE MARCO
678,MARIE TOGASHI
678,JANICE LISBOA DE MARCO
678,MARIE TOGASHI
678,MARIE TOGASHI
678,JANICE LISBOA DE MARCO
678,ELOISA DUTRA CALDAS
678,MAURICIO HOMEM DE MELLO
678,MARILIA BARROS
678,DJANE BRAZ DUARTE
678,LUIZ ALBERTO SIMEONI
678,LUIZ ANTONIO SOARES ROMEIRO
678,DAMARIS SILVEIRA
678,YRIS MARIA FONSECA BAZZO
678,TAIS GRATIERI
678,MARCILIO SERGIO SOARES DA CUNHA FILHO
678,MONICA VALERO DA SILVA
678,TAIS GRATIERI
678,MARIA DE FATIMA BORIN
678,CAMILA ALVES AREDA
678,LUIZ ANTONIO SOARES ROMEIRO
678,PAULA MARIA QUAGLIO BELLOZI
678,RAFAEL SANTOS SANTANA
678,RODRIGO FONSECA LIMA
678,MAURICIO HOMEM DE MELLO
678,ISAMU KANZAKI
678,DJANE BRAZ DUARTE
678,JOAO PAULO BARRETO DE SOUSA
678,JOAO PAULO BARRETO DE SOUSA
678,HELAINE CARNEIRO CAPUCHO
678,HELAINE CARNEIRO CAPUCHO
678,ALINE COSTA SANTOS NUNES
678,ALINE COSTA SANTOS NUNES
678,GUILHERME MARTINS SANTOS
